"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
1.190000000E1,-3.833620375E-1,2.809634939E-2,1.065264432E-2
1.200000000E1,-4.006725845E-1,2.303634334E-2,1.171790875E-2
1.210000000E1,-4.290352500E-1,-3.195793296E-3,9.321063780E-3
1.220000000E1,-4.560663350E-1,1.158475070E-2,1.171790875E-2
1.230000000E1,-5.010737572E-1,2.822950745E-2,1.344896345E-2
1.240000000E1,-5.336974804E-1,2.077265642E-2,1.051948627E-2
1.250000000E1,-5.792375349E-1,2.956108799E-2,9.187905726E-3
1.260000000E1,-6.177202125E-1,3.355582961E-2,1.025317016E-2
1.270000000E1,-6.434197169E-1,2.596582053E-2,6.524744646E-3
1.280000000E1,-6.844323976E-1,2.383529167E-2,9.853695996E-3
1.290000000E1,-7.167898047E-1,2.729740107E-2,8.921589618E-3
1.300000000E1,-7.661914427E-1,5.233111522E-2,7.323692970E-3
1.310000000E1,-7.669903910E-1,2.290318529E-2,1.265001513E-2
1.320000000E1,-7.773767193E-1,2.223739502E-2,4.793689944E-3
1.330000000E1,-7.845672542E-1,2.556634637E-2,9.454221834E-3
1.340000000E1,-7.716509229E-1,2.649845275E-2,1.731054702E-3
1.350000000E1,-7.522098470E-1,2.463423999E-2,6.791060754E-3
1.360000000E1,-7.249124460E-1,3.422161988E-2,1.198422486E-2
1.370000000E1,-6.908239842E-1,8.522115456E-3,3.062635242E-3
1.380000000E1,-6.531402549E-1,2.969424604E-2,6.657902700E-3
1.390000000E1,-6.242449572E-1,3.115898464E-2,7.989483240E-4
1.400000000E1,-5.876264923E-1,3.049319437E-2,2.396844972E-3
1.410000000E1,-5.511411855E-1,2.063949837E-2,3.861583566E-3
1.420000000E1,-5.154548270E-1,2.596582053E-2,8.522115456E-3
1.430000000E1,-4.739095142E-1,1.717738897E-2,1.278317318E-2
1.440000000E1,-4.551342286E-1,4.141215479E-2,1.012001210E-2
1.450000000E1,-4.125236513E-1,4.793689944E-3,1.371527956E-2
1.460000000E1,-3.893541499E-1,2.769687523E-2,1.265001513E-2
1.470000000E1,-3.656520163E-1,2.197107891E-2,1.904160172E-2
1.480000000E1,-3.576625330E-1,3.209109101E-2,1.025317016E-2
1.490000000E1,-3.454119921E-1,2.277002723E-2,8.522115456E-3
1.500000000E1,-3.356914541E-1,8.788431564E-3,1.238369902E-2
1.510000000E1,-3.516704206E-1,2.982740410E-2,1.158475070E-2
1.520000000E1,-3.664509646E-1,2.010686615E-2,6.258428538E-3
1.530000000E1,-3.720436029E-1,2.503371415E-2,1.451422789E-2
1.540000000E1,-3.876230952E-1,2.410160777E-2,1.278317318E-2
1.550000000E1,-4.016046909E-1,1.664475675E-2,1.371527956E-2
1.560000000E1,-4.374242074E-1,1.664475675E-2,1.265001513E-2
1.570000000E1,-4.733768820E-1,2.103897253E-2,5.858954376E-3
1.580000000E1,-5.054679730E-1,3.368898766E-2,0.000000000E0
1.590000000E1,-5.494101308E-1,-4.660531890E-3,4.527373836E-3
1.600000000E1,-5.761748997E-1,2.130528864E-2,8.788431564E-3
1.610000000E1,-6.259760119E-1,3.795004539E-2,1.065264432E-3
1.620000000E1,-6.503439357E-1,3.355582961E-2,1.478054399E-2
1.630000000E1,-6.910903003E-1,2.383529167E-2,9.321063780E-3
1.640000000E1,-7.163903305E-1,2.410160777E-2,1.371527956E-2
1.650000000E1,-7.520766890E-1,2.463423999E-2,1.691107286E-2
1.660000000E1,-7.776430354E-1,4.207794506E-2,6.524744646E-3
1.670000000E1,-7.748467162E-1,2.383529167E-2,9.986854050E-3
1.680000000E1,-7.644603880E-1,2.796319134E-2,5.326322160E-3
1.690000000E1,-7.625961753E-1,2.476739804E-2,3.595267458E-3
1.700000000E1,-7.428887833E-1,2.436792388E-2,6.657902700E-4
1.710000000E1,-7.127950631E-1,3.062635242E-2,1.131843459E-2
1.720000000E1,-6.833671331E-1,2.729740107E-2,6.258428538E-3
1.730000000E1,-6.480802488E-1,2.024002421E-2,9.054747672E-3
1.740000000E1,-6.065349360E-1,3.049319437E-2,5.326322160E-3
1.750000000E1,-5.729791064E-1,2.210423696E-2,1.877528561E-2
1.760000000E1,-5.424859120E-1,3.528688431E-2,7.989483240E-4
1.770000000E1,-4.988100703E-1,2.663161080E-2,8.522115456E-3
1.780000000E1,-4.615258152E-1,2.343581750E-2,5.326322160E-3
1.790000000E1,-4.402205265E-1,2.476739804E-2,1.158475070E-2
1.800000000E1,-4.134557577E-1,2.902845577E-2,9.587379888E-3
1.810000000E1,-3.769704509E-1,4.154531285E-2,1.344896345E-2
1.820000000E1,-3.607251683E-1,1.504686010E-2,4.127899674E-3
1.830000000E1,-3.522030528E-1,2.250371113E-2,8.921589618E-3
1.840000000E1,-3.542004236E-1,3.289003934E-2,1.398159567E-2
1.850000000E1,-3.446130438E-1,2.223739502E-2,1.118527654E-2
1.860000000E1,-3.577956911E-1,2.130528864E-2,1.424791178E-2
1.870000000E1,-3.620567488E-1,3.089266853E-2,9.986854050E-3
1.880000000E1,-3.725762351E-1,3.715109707E-2,1.784317924E-2
1.890000000E1,-3.977431073E-1,2.689792691E-2,9.454221834E-3
1.900000000E1,-4.251736664E-1,2.316950140E-2,1.105211848E-2
1.910000000E1,-4.581968638E-1,2.623213664E-2,1.091896043E-2
1.920000000E1,-4.949484867E-1,2.609897858E-2,5.858954376E-3
1.930000000E1,-5.309011613E-1,3.036003631E-2,9.720537942E-3
1.940000000E1,-5.536711885E-1,2.929477188E-2,1.025317016E-2
1.950000000E1,-6.073338843E-1,6.231796927E-2,6.791060754E-3
1.960000000E1,-6.329002307E-1,2.743055912E-2,1.331580540E-4
1.970000000E1,-6.777744949E-1,3.262372323E-2,2.663161080E-3
1.980000000E1,-7.072024248E-1,2.543318831E-2,9.321063780E-3
1.990000000E1,-7.392935158E-1,2.849582356E-2,-1.597896648E-3
2.000000000E1,-7.543403759E-1,2.170476280E-2,3.595267458E-3
2.010000000E1,-7.661914427E-1,2.503371415E-2,6.125270484E-3
2.020000000E1,-7.665909169E-1,3.355582961E-2,-1.331580540E-4
2.030000000E1,-7.667240749E-1,3.368898766E-2,-2.663161080E-4
2.040000000E1,-7.514108987E-1,2.516687221E-2,6.391586592E-3
