"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
2.560000000E1,9.747169553E-2,3.422161988E-2,2.130528864E-2
2.570000000E1,1.078580237E-1,2.796319134E-3,1.957423394E-2
2.580000000E1,1.363538473E-1,5.326322160E-3,2.862898161E-2
2.590000000E1,1.167796134E-1,4.554005447E-2,2.783003329E-2
2.600000000E1,1.103880268E-1,4.620584474E-2,2.383529167E-2
2.610000000E1,1.226385677E-1,-3.728425512E-3,2.410160777E-2
2.620000000E1,1.648496709E-1,-1.058606529E-1,8.921589618E-3
2.630000000E1,9.574064083E-2,1.607217712E-1,1.784317924E-2
2.640000000E1,1.165132973E-1,1.464738594E-2,6.657902700E-3
2.650000000E1,1.101217107E-1,-2.316950140E-2,1.225054097E-2
2.660000000E1,6.351639176E-2,7.989483240E-2,1.451422789E-2
2.670000000E1,7.323692970E-2,1.089232882E-1,1.544633426E-2
2.680000000E1,1.253017288E-1,-5.459480214E-3,1.438106983E-2
2.690000000E1,1.086569721E-1,-9.454221834E-3,1.691107286E-2
2.700000000E1,7.656588105E-2,3.115898464E-2,1.012001210E-2
2.710000000E1,6.870955586E-2,1.031974918E-1,1.890844367E-2
2.720000000E1,1.372859537E-1,3.542004236E-2,2.370213361E-2
2.730000000E1,1.086569721E-1,1.984055005E-2,1.225054097E-2
2.740000000E1,1.071922335E-1,2.463423999E-2,1.850896951E-2
2.750000000E1,1.158475070E-1,3.089266853E-2,1.824265340E-2
2.760000000E1,1.416801695E-1,2.396844972E-2,2.143844669E-2
2.770000000E1,9.880327607E-2,6.657902700E-2,1.145159264E-2
2.780000000E1,1.368864795E-1,-1.287638382E-1,2.596582053E-2
2.790000000E1,1.810949534E-2,1.816275857E-1,1.265001513E-2
2.800000000E1,1.498028108E-1,-2.356897556E-2,2.783003329E-2
2.810000000E1,1.524659718E-1,-2.796319134E-2,2.623213664E-2
2.820000000E1,1.532649202E-1,-6.018744041E-2,2.423476583E-2
2.830000000E1,3.795004539E-2,1.358212151E-1,8.255799348E-3
2.840000000E1,8.149272905E-2,7.669903910E-2,1.464738594E-2
2.850000000E1,1.443433305E-1,-3.581951653E-2,2.037318226E-2
2.860000000E1,1.134506620E-1,-1.145159264E-2,1.890844367E-2
2.870000000E1,9.760485358E-2,-1.118527654E-2,1.078580237E-2
2.880000000E1,7.909588408E-2,8.482168040E-2,1.118527654E-2
2.890000000E1,1.195759325E-1,3.675162290E-2,1.970739199E-2
2.900000000E1,1.019990694E-1,4.860268971E-2,1.744370507E-2
2.910000000E1,1.218396194E-1,-2.663161080E-2,1.651159870E-2
2.920000000E1,1.121190815E-1,3.142530074E-2,2.063949837E-2
2.930000000E1,1.284975221E-1,4.740426722E-2,1.757686313E-2
2.940000000E1,1.206411969E-1,4.101268063E-2,1.318264735E-2
2.950000000E1,1.087901301E-1,1.464738594E-3,1.930791783E-2
2.960000000E1,2.149170992E-1,-1.548628168E-1,3.795004539E-2
2.970000000E1,1.117196073E-1,9.787116969E-2,1.744370507E-2
2.980000000E1,1.295627865E-1,-1.145159264E-2,9.720537942E-3
2.990000000E1,8.615326094E-2,6.045375652E-2,1.624528259E-2
3.000000000E1,9.494169250E-2,-1.611212453E-2,1.797633729E-2
3.010000000E1,9.201221531E-2,1.111869751E-1,1.518001816E-2
3.020000000E1,7.523430051E-2,1.161138231E-1,1.890844367E-2
3.030000000E1,7.310377165E-2,4.860268971E-2,6.791060754E-3
3.040000000E1,1.257012030E-1,-2.503371415E-2,2.769687523E-2
3.050000000E1,1.537975524E-1,-5.592638268E-2,1.917475978E-2
3.060000000E1,1.087901301E-1,3.755057123E-2,2.143844669E-2
3.070000000E1,8.442220624E-2,6.551376257E-2,3.089266853E-2
3.080000000E1,1.038632821E-1,8.468852234E-2,3.249056518E-2
3.090000000E1,1.035969660E-1,7.137271694E-2,1.358212151E-2
3.100000000E1,1.407480631E-1,-1.997370810E-2,1.957423394E-2
3.110000000E1,1.153148748E-1,-7.057376862E-3,1.371527956E-2
3.120000000E1,1.439438564E-1,4.793689944E-3,1.850896951E-2
3.130000000E1,1.037301241E-1,3.755057123E-2,2.170476280E-2
3.140000000E1,1.198422486E-3,1.736381024E-1,1.411475372E-2
3.150000000E1,6.857639781E-2,1.656486192E-1,1.637844064E-2
3.160000000E1,9.507485056E-2,3.528688431E-2,9.321063780E-3
3.170000000E1,1.339570023E-1,-3.941478398E-2,2.450108194E-2
3.180000000E1,1.723065219E-1,-1.012001210E-1,4.221110312E-2
3.190000000E1,9.534116666E-2,1.532649202E-1,1.664475675E-2
3.200000000E1,1.147822425E-1,6.111954679E-2,2.383529167E-2
3.210000000E1,1.069259174E-1,5.326322160E-3,1.744370507E-2
3.220000000E1,1.173122456E-1,1.451422789E-2,2.263686918E-2
3.230000000E1,1.308943671E-1,2.676476885E-2,2.543318831E-2
3.240000000E1,1.103880268E-1,3.821636150E-2,1.731054702E-2
3.250000000E1,1.157143489E-1,-2.796319134E-3,1.491370205E-2
3.260000000E1,1.154480328E-1,4.900216387E-2,1.944107588E-2
3.270000000E1,1.219727775E-1,1.295627865E-1,3.502056820E-2
3.280000000E1,1.226385677E-1,-4.620584474E-2,2.303634334E-2
3.290000000E1,1.278317318E-1,1.065264432E-3,2.569950442E-2
3.300000000E1,1.272990996E-1,9.454221834E-3,1.531317621E-2
3.310000000E1,1.265001513E-1,-8.122641294E-2,2.636529469E-2
3.320000000E1,1.404817470E-1,-3.222424907E-2,3.502056820E-2
3.330000000E1,9.267800558E-2,1.078580237E-1,2.383529167E-2
3.340000000E1,9.973538245E-2,1.038632821E-1,2.783003329E-2
3.350000000E1,6.817692365E-2,8.349009986E-2,2.290318529E-2
3.360000000E1,1.371527956E-1,-8.042746462E-2,1.424791178E-2
3.370000000E1,1.648496709E-1,-1.327585798E-1,1.291633124E-2
3.380000000E1,9.227853142E-2,2.090581448E-2,1.531317621E-2
3.390000000E1,9.361011196E-2,5.672533100E-2,2.956108799E-2
3.400000000E1,1.427454339E-1,-2.130528864E-3,1.318264735E-2
3.410000000E1,4.807005749E-2,1.328917379E-1,4.394215782E-3
3.420000000E1,1.093227623E-1,3.874899371E-2,2.569950442E-2
3.430000000E1,1.250354127E-1,4.846953166E-2,2.237055307E-2
3.440000000E1,1.019990694E-1,1.704423091E-2,2.503371415E-2
3.450000000E1,1.070590754E-1,1.930791783E-2,1.917475978E-2
3.460000000E1,1.267664674E-1,5.526059241E-2,2.450108194E-2
3.470000000E1,1.101217107E-1,1.051948627E-2,1.225054097E-2
3.480000000E1,9.973538245E-2,-1.318264735E-2,2.303634334E-2
3.490000000E1,1.740375766E-1,-5.486111825E-2,3.222424907E-2
3.500000000E1,1.271659416E-1,-6.591323673E-2,2.623213664E-2
3.510000000E1,1.275654157E-1,9.054747672E-3,2.796319134E-2
3.520000000E1,9.281116364E-2,1.237038322E-1,1.984055005E-2
3.530000000E1,1.239701483E-1,4.194478701E-2,2.783003329E-2
3.540000000E1,7.656588105E-2,1.141164523E-1,1.984055005E-2
3.550000000E1,1.209075130E-1,5.020058636E-2,1.797633729E-2
3.560000000E1,1.440770144E-1,-3.222424907E-2,4.141215479E-2
3.570000000E1,1.500691269E-1,-8.349009986E-2,2.303634334E-2
3.580000000E1,1.359543731E-1,4.274373533E-2,2.929477188E-2
3.590000000E1,1.253017288E-1,1.917475978E-2,2.316950140E-2
3.600000000E1,1.721733638E-1,-1.162469811E-1,3.195793296E-2
3.610000000E1,9.560748277E-2,1.045290724E-1,1.704423091E-2
3.620000000E1,1.043959143E-1,6.870955586E-2,2.170476280E-2
3.630000000E1,9.374327002E-2,5.086637663E-2,1.970739199E-2
3.640000000E1,1.246359385E-1,3.528688431E-2,2.157160475E-2
3.650000000E1,9.973538245E-2,9.267800558E-2,1.597896648E-2
3.660000000E1,1.086569721E-1,1.105211848E-2,1.757686313E-2
3.670000000E1,1.347559506E-1,2.889529772E-2,2.370213361E-2
3.680000000E1,1.107875009E-1,5.619269879E-2,2.876213966E-2
3.690000000E1,9.920275023E-2,6.151902095E-2,1.890844367E-2
3.700000000E1,1.603222970E-1,-1.797633729E-2,2.982740410E-2
